,vocal,meaning
1607,exegesis,"explanation, especially of biblical(of the bible) passages"
1608,exemplary,serving as a model; outstanding; Ex. exemplary punishment/behavior; N. exemplar: typical example; model
1609,exemplify,show by example; furnish an example; serve as an example of; Ex. His pictures exemplify that sort of painting.
1610,exempt,not subject to a duty or obligation; free from a duty; V.
1611,exertion,effort; expenditure of much physical work; V. exert oneself: make a great effort
1612,exhale,breathe out; OP. inhale
1613,exhilarating,invigorating and refreshing; cheering; V. exhilarate: make cheerful and excited; Ex. exhilarated by the ride in the sports car
1614,exhort,urge (by strong argument or advice); Ex. The general exhorted his men to fight bravely; N. exhortation
1615,exhume,dig out of the ground; remove from a grave
1616,exigency,urgent situation; ADJ. exigent
1617,exiguous,small in amount; minute
1618,existential,pertaining to existence; pertaining to the philosophy of existentialism
1619,exodus,departure (of a large number of people)
1620,exonerate,acquit; exculpate; free from blame or guilt
1621,exorbitant,(of costs or demands) excessive; exceeding reasonable bounds
1622,exorcise,drive out evil spirits
1623,exotic,not native; from another part of the world; strange; intriguingly unusual; Ex. exotic flower/dress
1624,expansive,(of a person) outgoing and sociable; broad and extensive; able to increase in size
1625,expatiate,talk at length; speak or write in detail
1626,expatriate,exile; someone who has withdrawn from his native land; V: exile; banish; leave one's country
1627,expedient,suitable (for a particular purpose although not necessarily morally correct); practical; politic(prudent); N: something expedient
1628,expedite,hasten; make go faster
1629,expeditious,done with speed; quick; N. expedition
1630,expenditure,payment or expense; expending; something expended; output; Ex. receipt for the expenditure; Ex. expenditure of all the energy
1631,expertise,specialized knowledge (in a particular field); expert skill
1632,expiate,make amends for (a sin)
1633,expletive,meaningless word; interjection; profane oath; swear-word
1634,explicate,explain in detail; interpret; clarify; CF. explicable
1635,explicit,totally clear; definite; outspoken
1636,exploit,"make use of, sometimes unjustly; N. exploitation"
1637,expos\'e,public revelation of something discreditable
1638,expository,explanatory; serving to explain; N. exposition: explaining; exhibition
1639,expostulation,protest; remonstrance; reasoning with someone to correct or dissuade; V. expostulate
1640,exposure,"risk, particularly of being exposed to disease or to the elements; unmasking; act of laying something open; Ex. exposure of governmental corruption"
1641,expound,explain
1642,expropriate,take possession of (often for public use and without payment)
1643,expunge,cancel; remove a word or name (from a book or list); erase
1644,expurgate,clean; remove offensive parts of a book
1645,exquisite,delicate; very finely made; extremely beautiful; Ex. exquisite piece of jewelry
1646,extant,(of something written or painted) still in existence
1647,extemporaneous,not planned; impromptu; extempore
1648,extenuate,weaken; mitigate; lessen the seriousness of (bad behavior)
1649,extirpate,root up; uproot; destroy completely
1650,extol,praise very highly; glorify
1651,extort,"wring from; get money by threats, etc.; obtain by force or threats; CF. extortionate: exorbitant"
1652,extradition,surrender of prisoner by one state to another; Ex. extradition treaty; V. extradite
1653,extraneous,not essential; irrelevant; superfluous; external; coming from the outside; Ex. extraneous details/noise/to the subject
1654,extrapolation,projection; conjecture; V. extrapolate: infer (unknown information) from known information
1655,extricate,free from an entanglement or difficulty; disentangle
1656,extrinsic,external; not essential or inherent; extraneous; OP. intrinsic
1657,extrovert,person interested mostly in external objects and actions
1658,extrude,force or push out; thrust out; shape (plastic or metal) by forcing through a die
1659,exuberance,overflowing abundance; joyful enthusiasm; flamboyance; lavishness; ADJ. exuberant: high-spirited and lively; growing abundantly and strongly
1660,exude,flow out slowly; discharge (gradually); give forth; N. exudation
1661,exult,rejoice
1662,facilitate,help bring about; make less difficult
1663,facsimile,copy
1664,faction,party; clique (within a large group); dissension
1665,factious,inclined to form factions; causing dissension
1666,factitious,artificial; produced artificially; sham; false; Ex. factitious tears
1667,factotum,handyman; person who does all kinds of work; CF. do everything
1668,faculty,mental or bodily powers; teaching staff
1669,fake,not genuine; N: one that is not genuine; impostor; sham; V: counterfeit; Ex. fake the results of the experiment/the signature
1670,fallacious,false; based on a fallacy; misleading; N. fallacy: false idea or notion; false reasoning; Ex. popular fallacy; Ex. fallacy of the argument
1671,fallible,liable to err
1672,fallow,(of land) plowed but not sowed (to improve the quality); uncultivated
1673,falsify,make (something written) false by changing
1674,falter,hesitate; weaken in purpose or action; walk or move unsteadily through weakness; N.
1675,fanaticism,excessive zeal; extreme devotion to a belief or cause; N. fanatic; ADJ. fanatic
1676,fancied,imagined; unreal
1677,fancier,"breeder or dealer of animals; one who has a special interest, as for raising specific plant or animal"
1678,fanciful,whimsical; visionary; imaginary; produced by imagination; Ex. fanciful scheme
1679,fancy,imagination (of a whimsical or fantastic nature); capricious liking; V: imagine; be fond of; ADJ. decorative; elaborate
1680,fanfare,call by bugles or trumpets; showy display; spectacular public display
1681,farce,broad comedy; mockery; humorous play full of silly things happening; ADJ. farcical
1682,far-fetched,too improbable to be believed; implausible; Ex. far-fetched story
1683,fashion,give shape to; make; Ex. fashion the pot out of clay
1684,fastidious,difficult to please; squeamish; fussy; finicky
1685,fatalism,belief that events are determined by forces or fates beyond one's control; ADJ. fatalistic; CF. fatal: causing death
1686,fathom,comprehend; investigate; determine the depth of; N. unit of measurement for the depth of water
1687,fathomless,too deep to be measured or understood; unfathomable
1688,fatuous,"smugly and unconsciously foolish; inane; silly; N. fatuity, fatuousness"
1689,fauna,animals of a period or region; CF. flora
1690,favoritism,display of partiality toward a favored person
1691,fawning,courting favor by cringing and flattering; V. fawn: exhibit affection as a dog; seek favor or attention by obsequiousness
1692,faze,disconcert; dismay; embarrass
1693,feasible,practical; able to be carried out; practicable
1694,feature,distinctive part of the faces (as the eyes or mouth); features: overall appearance of the face; prominent or distinctive quality; prominent article; film; V: make prominent
1695,febrile,feverish
1696,fecundity,fertility; fruitfulness; ADJ. fecund: very productive of crops or young
1697,feebleminded,deficient in intelligence; very stupid
1698,feign,pretend
1699,feint,trick; shift; sham blow; feigned attack to draw away defensive action; V.
1700,felicitous,(of a word or remark) apt; suitably expressed; well chosen
1701,felicity,"happiness; appropriateness (of a remark, choice, etc.); quality of being felicitous"
1702,feline,of a member of the cat family; N.
1703,fell,cut or knock down (a tree or a person); bring down (with a missile)
1704,felon,person convicted of a grave crime; CF. felony: serious crime
1705,feral,(of an animal) not domestic; wild
1706,ferment,agitation; commotion(noisy and excited activity); unrest (of a political kind); V. produce by fermentation; undergo fermentation; cause (a state of trouble)
1707,fermentation,chemical reaction that splits complex organic compounds; unrest; agitation
1708,ferocious,fierce; violent; N. ferocity
1709,ferret,drive or hunt out of hiding; hunt with ferrets; drive out (as from a hiding place); expel; uncover or discover by searching; Ex. ferret out the secret; N. small fierce animal which catches rats and rabbits by going into their holes
1710,fertile,"producing many young, fruits, or seeds; (of land) producing good crops;
V. fertilize"
1711,fervent,ardent; zealous; hot
1712,fervid,ardent; zealous; hot
1713,fervor,glowing ardor; intensity of feeling; quality of being fervent or fervid; zeal; intense heat
1714,fester,rankle; produce irritation or resentment; (of a cut or wound) generate pus or rot; Ex. His insult festered in my mind for days.
1715,festive,joyous; celebratory; relating to a feast or festival
1716,fete(f\^ete),honor at a festival; celebrate or honor with a feast; N. (outdoor) festival or feast; CF. feast
1717,fetid(foetid),malodorous; foul
1718,fetish(fetich),object believed to have spiritual powers; object of excessive attention or reverence; CF. fetishism
1719,fetter,shackle; restrict the freedom of; N. chain or shackle for the foot of a prisoner; CF. foot
1720,feud,"bitter prolonged quarrel (usually between two peoples or families); V. CF. Romeo and Juliet; CF. feudal, feudalism"
1721,fiasco,total failure; CF. bottle
1722,fiat,command; arbitrary order; Ex. presidential fiat; CF. let it be done
1723,fickle,changeable (in affections or friendship); faithless
1724,fictitious,imaginary; non-existent; purposely invented to deceive; untrue; Ex. fictitious name/boyfriend; CF. fictional
1725,fidelity,loyalty; accuracy
1726,fiend,evil spirit; devil
